id,zip,lat,lng,city,state_id,state_name,county_name,county_names_all,timezone
0,601,18.18005,-66.75218,Adjuntas,PR,Puerto Rico,Adjuntas,Adjuntas|Utuado,America/Puerto_Rico
1,602,18.36074,-67.17519,Aguada,PR,Puerto Rico,Aguada,Aguada,America/Puerto_Rico
2,603,18.4544,-67.12201,Aguadilla,PR,Puerto Rico,Aguadilla,Aguadilla,America/Puerto_Rico
3,606,18.16721,-66.93828,Maricao,PR,Puerto Rico,Maricao,Maricao|Yauco|Sabana Grande,America/Puerto_Rico
4,610,18.29032,-67.12244,Anasco,PR,Puerto Rico,Añasco,Añasco|Aguada,America/Puerto_Rico
5,612,18.40699,-66.70805,Arecibo,PR,Puerto Rico,Arecibo,Arecibo|Barceloneta,America/Puerto_Rico
6,616,18.41752,-66.66814,Bajadero,PR,Puerto Rico,Arecibo,Arecibo,America/Puerto_Rico
7,617,18.44125,-66.55916,Barceloneta,PR,Puerto Rico,Barceloneta,Barceloneta|Florida,America/Puerto_Rico
8,622,17.99174,-67.15248,Boqueron,PR,Puerto Rico,Cabo Rojo,Cabo Rojo,America/Puerto_Rico
9,623,18.08354,-67.15418,Cabo Rojo,PR,Puerto Rico,Cabo Rojo,Cabo Rojo,America/Puerto_Rico
10,624,18.06465,-66.71823,Penuelas,PR,Puerto Rico,Peñuelas,Peñuelas|Ponce,America/Puerto_Rico
11,627,18.419,-66.86033,Camuy,PR,Puerto Rico,Camuy,Camuy,America/Puerto_Rico
12,631,18.18555,-66.83327,Castaner,PR,Puerto Rico,Lares,Lares|Adjuntas,America/Puerto_Rico
13,637,18.0798,-66.94274,Sabana Grande,PR,Puerto Rico,Sabana Grande,Sabana Grande|Yauco,America/Puerto_Rico
14,638,18.28905,-66.5151,Ciales,PR,Puerto Rico,Ciales,Ciales|Manatí,America/Puerto_Rico
15,641,18.26408,-66.71376,Utuado,PR,Puerto Rico,Utuado,Utuado|Adjuntas,America/Puerto_Rico
16,646,18.43401,-66.2833,Dorado,PR,Puerto Rico,Dorado,Dorado|Vega Alta,America/Puerto_Rico
17,647,17.96612,-66.94383,Ensenada,PR,Puerto Rico,Guánica,Guánica|Lajas,America/Puerto_Rico
18,650,18.34321,-66.58601,Florida,PR,Puerto Rico,Florida,Florida|Utuado|Barceloneta|Arecibo|Ciales,America/Puerto_Rico
19,652,18.45542,-66.60635,Garrochales,PR,Puerto Rico,Arecibo,Arecibo,America/Puerto_Rico
20,653,17.98572,-66.89031,Guanica,PR,Puerto Rico,Guánica,Guánica,America/Puerto_Rico
21,656,18.05281,-66.79182,Guayanilla,PR,Puerto Rico,Guayanilla,Guayanilla,America/Puerto_Rico
22,659,18.41069,-66.79648,Hatillo,PR,Puerto Rico,Hatillo,Hatillo,America/Puerto_Rico
23,660,18.13419,-67.11403,Hormigueros,PR,Puerto Rico,Hormigueros,Hormigueros,America/Puerto_Rico
24,662,18.46208,-67.01444,Isabela,PR,Puerto Rico,Isabela,Isabela,America/Puerto_Rico
25,664,18.21151,-66.5889,Jayuya,PR,Puerto Rico,Jayuya,Jayuya|Utuado,America/Puerto_Rico
26,667,18.01227,-67.0409,Lajas,PR,Puerto Rico,Lajas,Lajas|San Germán,America/Puerto_Rico
